accession,description
ERZ908765,"Antibiogram for study PRJDB7087, sample SAMD00126421"
ERZ908784,"Antibiogram for study PRJDB7087, sample SAMD00126438"
ERZ908790,"Antibiogram for study PRJDB7087, sample SAMD00126517"
ERZ908801,"Antibiogram for study PRJDB7087, sample SAMD00126397"
ERZ908805,"Antibiogram for study PRJDB7087, sample SAMD00126426"
ERZ908827,"Antibiogram for study PRJDB7087, sample SAMD00126458"
ERZ908832,"Antibiogram for study PRJDB7087, sample SAMD00126560"
ERZ908839,"Antibiogram for study PRJDB7087, sample SAMD00126456"
ERZ908843,"Antibiogram for study PRJDB7087, sample SAMD00126499"
ERZ908846,"Antibiogram for study PRJDB7087, sample SAMD00126587"
ERZ908859,"Antibiogram for study PRJDB7087, sample SAMD00126559"
ERZ908864,"Antibiogram for study PRJDB7087, sample SAMD00126435"
ERZ908869,"Antibiogram for study PRJDB7087, sample SAMD00126541"
ERZ794736,"Antibiogram for study PRJEB21997, sample SAMEA104188775"
ERZ794738,"Antibiogram for study PRJEB21997, sample SAMEA104188789"
ERZ794745,"Antibiogram for study PRJEB21997, sample SAMEA104188757"
ERZ794752,"Antibiogram for study PRJEB21997, sample SAMEA104188687"
ERZ794814,"Antibiogram for study PRJEB21997, sample SAMEA104188744"
ERZ794864,"Antibiogram for study PRJEB14873, sample SAMEA4350769"
ERZ795325,"Antibiogram for study PRJEB25629, sample SAMEA5166665"
ERZ795328,"Antibiogram for study PRJEB25629, sample SAMEA5166668"
ERZ908653,"Antibiogram for study PRJDB7087, sample SAMD00126422"
ERZ908658,"Antibiogram for study PRJDB7087, sample SAMD00126358"
ERZ908665,"Antibiogram for study PRJDB7087, sample SAMD00126531"
ERZ908698,"Antibiogram for study PRJDB7087, sample SAMD00126378"
ERZ908699,"Antibiogram for study PRJDB7087, sample SAMD00126498"
ERZ908711,"Antibiogram for study PRJDB7087, sample SAMD00126452"
ERZ908718,"Antibiogram for study PRJDB7087, sample SAMD00126570"
