run_accession,study_accession,Sample,tax_id,scientific_name,submitted_ftp,Isolate,Supplier (Geographic origin),TOB,MIC*,CIP,MIC*2,MEM,MIC*3,CAZ,MIC*4
SRR8737533,PRJNA526797,SAMN11110343,287,Pseudomonas aeruginosa,NA,CH2598,Charité Berlin (Berlin),S,1,S,0.25,R,8,S,2
SRR8737534,PRJNA526797,SAMN11110344,287,Pseudomonas aeruginosa,NA,CH2608,Charité Berlin (Berlin),R,1024,R,16,R,8,R,32
SRR8737535,PRJNA526797,SAMN11110345,287,Pseudomonas aeruginosa,NA,CH2623,Charité Berlin (Berlin),R,256,R,16,R,16,I,16
SRR8737536,PRJNA526797,SAMN11110709,287,Pseudomonas aeruginosa,NA,PSAE2325,University of Freiburg (Neubrandenburg),S,1,S,0.5,R,32,S,8
SRR8737537,PRJNA526797,SAMN11110611,287,Pseudomonas aeruginosa,NA,F2167,University Hospital Frankfurt (Frankfurt),R,256,R,64,R,512,R,1024
SRR8737538,PRJNA526797,SAMN11110610,287,Pseudomonas aeruginosa,NA,F2166,University Hospital Frankfurt (Frankfurt),S,2,R,64,R,64,R,128
SRR8737539,PRJNA526797,SAMN11110704,287,Pseudomonas aeruginosa,NA,PSAE1984,University of Freiburg (Bremen),S,2,S,0.25,I,4,S,1
SRR8737540,PRJNA526797,SAMN11110705,287,Pseudomonas aeruginosa,NA,PSAE2125,University of Freiburg (Neubrandenburg),S,0.5,S,0.06,R,8,I,16
SRR8737541,PRJNA526797,SAMN11110738,287,Pseudomonas aeruginosa,NA,ZG5021922,Private practice laboratory (Leipzig),R,128,R,32,R,256,R,512
SRR8737542,PRJNA526797,SAMN11110739,287,Pseudomonas aeruginosa,NA,ZG5048010,Private practice laboratory (Leipzig),R,128,R,8,R,256,R,64
SRR8737543,PRJNA526797,SAMN11110736,287,Pseudomonas aeruginosa,NA,ZG322541,Private practice laboratory (Zwickau),R,512,R,64,R,64,R,32
