BioSample,Run,Imipenem,Meropenem,Doripenem,OXA-23 (ARO:3001418),QacEdelta1 (ARO:3005010),Sul1 (ARO:3000410),mphE (ARO:3003741),msrE (ARO:3003109),ANT(3'')-II (ARO:3002601),aacC1 (ARO:3002528),YafP (UniProtKB:Q47158),AphA6 (ARO:3002652),xerD (UniProtKB:D0CB56)
SAMN02570432,SRR1103764,17 (R),6 (R),6 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02570433,SRR1103765,17 (R),6 (R),6 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02570434,SRR1103766,17 (R),6 (R),6 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02570435,SRR1103767,17 (R),6 (R),6 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02570436,SRR1103768;SRR1103769,17 (R),6 (R),6 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02614514,SRR1151595;SRR1151596,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614527,SRR1151807;SRR1151808,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614528,SRR1151813,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614529,SRR1151818,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614530,SRR1151819,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614531,SRR1151825,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614532,SRR1151834,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614533,SRR1151843,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614534,SRR1151844,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614540,SRR1151895,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614541,SRR1151901,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
