ID,run_accession
SAMN04555304,SRR3228492
SAMN04555306,SRR3228494
SAMN04555307,SRR3228495
SAMN04555308,SRR3228496
SAMN04555309,SRR3228497
SAMN04555310,SRR3228498
SAMN04555479,SRR3228533
SAMN04555481,SRR3228535
SAMN04555482,SRR3228536
SAMN04555483,SRR3228537
SAMN04555485,SRR3228539
SAMN04555486,SRR3228540
SAMN04555487,SRR3228541
SAMN04555489,SRR3228543
SAMN04555490,SRR3228544
SAMN04555491,SRR3228545
SAMN04555494,SRR3228548
SAMN04555495,SRR3228549
SAMN04555498,SRR3228552
SAMN04555505,SRR3228559
SAMN04555507,SRR3228561
SAMN04555508,SRR3228562
SAMN04555509,SRR3228563
SAMN04555513,SRR3228567
SAMN04555514,SRR3228568
SAMN04555516,SRR3228570
SAMN04555517,SRR3228571
SAMN04555518,SRR3228572
SAMN04568503,SRR3242034
SAMN04568505,SRR3242036
SAMN04568506,SRR3242037
SAMN04568508,SRR3242039
SAMN04568510,SRR3242041
SAMN04568511,SRR3242042
SAMN04568512,SRR3242043
SAMN04568513,SRR3242044
SAMN04568514,SRR3242045
SAMN04568515,SRR3242046
SAMN04568516,SRR3242047
SAMN04568517,SRR3242048
SAMN04568518,SRR3242049
SAMN04568519,SRR3242050
SAMN04568521,SRR3242052
SAMN04901663,SRR4417569
SAMN04901664,SRR4417570
SAMN04901665,SRR4417583
SAMN04901667,SRR4417608
SAMN04901668,SRR4417610
SAMN04901669,SRR4417611
SAMN04901670,SRR4417612
SAMN04901671,SRR4417613
SAMN04901672,SRR4417614
SAMN04901673,SRR4417571
SAMN04901674,SRR4417572
SAMN04901675,SRR4417573
SAMN04901676,SRR4417574
SAMN04901677,SRR4417575
SAMN04901678,SRR4417577
SAMN04901679,SRR4417578
SAMN04901681,SRR4417581
SAMN04901682,SRR4417582
SAMN04901683,SRR4417585
SAMN04901684,SRR4417586
SAMN04901685,SRR4417587
SAMN04901686,SRR4417589
SAMN04901687,SRR4417590
SAMN04901688,SRR4417591
SAMN04901689,SRR4417592
SAMN04901691,SRR4417594
SAMN04901692,SRR4417595
SAMN04901693,SRR4417598
SAMN04901694,SRR4417599
SAMN04901695,SRR4417600
SAMN04901696,SRR4417601
SAMN04901697,SRR4417602
SAMN04901698,SRR4417603
SAMN04901699,SRR4417604
SAMN04901700,SRR4417605
SAMN04901701,SRR4417606
SAMN04901702,SRR4417607
SAMN04901703,SRR4417609
SAMN06007771,SRR5120223
SAMN06311521,SRR5237398
SAMN06754729,SRR5445925
SAMN06754731,SRR5445923
SAMN06827872,SRR5477439
SAMN06827873,SRR5477437
SAMN06827874,SRR5477438
SAMN06827875,SRR5477436
