sample_accession,run_accession
SAMN05190047,SRR3611763
SAMN05190048,SRR3611765
SAMN05190050,SRR3611768
SAMN05013878,SRR3543491
SAMN05013880,SRR3543499
SAMN05013881,SRR3543507
SAMN05013882,SRR3543509
SAMN05013886,SRR3543492
SAMN05013887,SRR3543501
SAMN05013889,SRR3543486
SAMN05013890,SRR3543495
SAMN05013891,SRR3543503
SAMN05013892,SRR3543485
SAMN05013893,SRR3543496
SAMN05013895,SRR3543504
SAMN05013896,SRR3543505
SAMN05013897,SRR3543479
SAMN05013898,SRR3543493
SAMN05013899,SRR3543498
SAMN05013900,SRR3543506
SAMN05013902,SRR3543488
SAMN05013903,SRR3543480
SAMN05013904,SRR3543487
SAMN05013906,SRR3543481
SAMN05013907,SRR3543484
SAMN05013910,SRR3543510
SAMN05049800,SRR3545883
SAMN05049801,SRR3545862
SAMN05049802,SRR3545750
SAMN05049805,SRR3545867
SAMN05049806,SRR3545868
SAMN05049809,SRR3545907
SAMN05049810,SRR3545893
SAMN05049811,SRR3545921
SAMN05049813,SRR3545870
SAMN05049814,SRR3545871
SAMN05049815,SRR3545856
SAMN05049817,SRR3545759
SAMN05049818,SRR3545923
SAMN05049819,SRR3545872
SAMN05049822,SRR3545936
SAMN05049823,SRR3545908
SAMN05049825,SRR3545864
SAMN05049828,SRR3545924
SAMN05049829,SRR3545886
SAMN05049830,SRR3545861
SAMN05171395,SRR3583309
SAMN05171397,SRR3583315
SAMN05171398,SRR3583321
SAMN05171401,SRR3583311
SAMN05171402,SRR3583307
SAMN05171403,SRR3583301
SAMN05171404,SRR3583302
SAMN05171405,SRR3583317
SAMN05171406,SRR3583303
SAMN05171407,SRR3583304
SAMN05171408,SRR3583312
SAMN05171409,SRR3583305
SAMN05171412,SRR3583322
SAMN05171413,SRR3583323
SAMN05163854,SRR3575117
SAMN05163856,SRR3575114
SAMN05163857,SRR3575110
SAMN05163860,SRR3575121
SAMN05189929,SRR3611597
SAMN05189930,SRR3611598
SAMN05189936,SRR3611607
SAMN05189937,SRR3611608
SAMN05189938,SRR3611610
SAMN05189939,SRR3611611
SAMN05189941,SRR3611618
SAMN05189943,SRR3611637
SAMN05245199,SRR3666677
SAMN05245200,SRR3666681
SAMN05301245,SRR3726429
SAMN05245201,SRR3666678
SAMN05245202,SRR3666679
SAMN05245206,SRR3666712
SAMN05301250,SRR3726432
SAMN05301251,SRR3726428
SAMN05245208,SRR3666711
SAMN05245210,SRR3666713
SAMN05245211,SRR3666710
SAMN05245212,SRR3666715
SAMN05245214,SRR3666718
SAMN05245215,SRR3666717
SAMN05245217,SRR3666721
SAMN05245221,SRR3666740
SAMN05245222,SRR3666741
SAMN05274299,SRR3710221
SAMN05274302,SRR3710035
SAMN05301256,SRR3726425
SAMN05301257,SRR3726437
SAMN05301258,SRR3726400
SAMN05301259,SRR3726436
SAMN05301261,SRR3726397
SAMN05301262,SRR3726393
SAMN05301264,SRR3726394
SAMN05301265,SRR3726438
SAMN05366784,SRR3774210
SAMN05301266,SRR3726439
SAMN05301267,SRR3726440
SAMN05301268,SRR3726334
SAMN05301270,SRR3726391
SAMN05301271,SRR3726398
SAMN05301272,SRR3726441
SAMN05301273,SRR3726395
SAMN05301275,SRR3726402
SAMN05366787,SRR3774341
SAMN05366788,SRR3774212
SAMN05366789,SRR3774326
SAMN05366794,SRR3774343
SAMN05366795,SRR3779203
SAMN05366796,SRR3771471
SAMN05366798,SRR3774252
SAMN05366799,SRR3774368
SAMN05366800,SRR3774213
